,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,text
4430,Sat Jun 19 02:42:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411038] 
BSM-Deenanath Hosp Pvt PMC
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 365,0,… https://t.co/3sjfmScDiu",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411038   bsm deenanath hosp pvt pmc vaccines  covishield  min age limit   18 45   dose1 capacity  365 0    
4431,Sat Jun 19 02:42:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411004] 
Sanjeevan Hospital Erand PMCP
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 2,8,… https://t.co/Aw1q0hNcOu",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411004   sanjeevan hospital erand pmcp vaccines  covishield  min age limit   18 45   dose1 capacity  2 8    
4432,Sat Jun 19 02:42:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411038] 
Jayabai Sutar Hospital PMCG
Vaccines: COVISHIELD COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity… https://t.co/ieWdpnCSHG",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411038   jayabai sutar hospital pmcg vaccines  covishield covaxin  min age limit   45 18   dose1 capacity   
4433,Sat Jun 19 02:42:43 +0000 2021,"<a href=""http://naattuvartha.byethost33.com"" rel=""nofollow"">Naattuvartha</a>","RT @PuneUpdater: Pin Code:[411038] 
BSM-Deenanath Hosp Pvt PMC
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 365,0,
Dose2 C…",-0.75,1,en,0,1,viralvideovlogs,6858,4580,,,,കേരളം,pin code  411038   bsm deenanath hosp pvt pmc vaccines  covishield  min age limit   18 45   dose1 capacity  365 0  dose2 c 
4434,Sat Jun 19 02:42:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @sujiseam: @AstraZeneca #COVID19 #vaccine also remains authorised for all populations in the #EuropeanUnion. https://t.co/dUrrezvA1z,0,0,en,6,3,Petueli_Fj,370,2462,FALSE,,,Fiji,   covid19  vaccine also remains authorised for all populations in the  europeanunion   
4435,Sat Jun 19 02:43:08 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","These covid vaccines will probably be annual for a few years like the flu jab. AZ this year, Pfizer next year, Mode… https://t.co/zxEDsQ0hyO",-0.1,0.05,en,0,,camaximum,294,619,,,,,these covid vaccines will probably be annual for a few years like the flu jab  az this year  pfizer next year  mode   
4436,Sat Jun 19 02:43:19 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @trcfwtt: OMG! Only 45% 👀 https://t.co/GxqrlZTthY,0,1,en,21,13,NorelliNancy,782,1214,FALSE,,,Exactly where u don't want me,omg  only 45     
4437,Sat Jun 19 02:44:06 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NathanStall: 👇👇👇

""People are free to believe that #COVID19 is a hoax, and to argue that vaccines are a plot...but there is no constitu…",0.4,0.8,en,280,62,StacieBOttawa,39,1862,,,,"Ottawa, Ontario",      people are free to believe that  covid19 is a hoax  and to argue that vaccines are a plot   but there is no constitu 
4438,Sat Jun 19 02:44:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CGTNOfficial: The number of coronavirus-related deaths in Africa has surpassed the 136,000 mark as the continent amid fears of a worsen…",0,0,en,6,6,Pandemic_Times,22512,653,,,,Post-Pandemic Sydney ,the number of coronavirus related deaths in africa has surpassed the 136 000 mark as the continent amid fears of a worsen 
4439,Sat Jun 19 02:44:50 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ALL VULNERABLE WERE VAXED MONTHS AGO, EVERYONE ELESE WHO WANTED VAX COULD FOR MONTHS!
THE PANDEMIC IS OVER!
DNC/MED… https://t.co/OJmJs1v4bO",-0.78125,0.5,en,0,,freeddeplorable,965,4033,,,,United States,all vulnerable were vaxed months ago  everyone elese who wanted vax could for months  the pandemic is over  dnc med   
4440,Sat Jun 19 02:44:53 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @TheAfricaReport: The increase in #COVID19 cases throughout several countries in southern #Africa is particularly worrying. Some experts…,0.055555556,0.111111111,en,7,7,TweetViewer3,566,3591,,,,,the increase in  covid19 cases throughout several countries in southern  africa is particularly worrying  some experts 
4441,Sat Jun 19 02:45:18 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CDCDirector: I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine n…",0.644444444,0.911111111,en,1011,323,HonAmarfio,2542,1654,,,,"Greater Noida, India",i m pleased to welcome the  wecandothis bus to atlanta today  remember  there are 3 easy ways to find a  covid19 vaccine n 
4442,Sat Jun 19 02:45:34 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @HighWireTalk: Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out a…",0.166666667,0.166666667,en,1593,905,AwardedXnAuthor,577,3844,,,,"Toronto, Canada",former pfizer vp and virologist  dr  michael yeadon  is one of the most credentialed medical professionals speaking out a 
4443,Sat Jun 19 02:45:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411038] 
Bindu Madhav Thakre Hos PMCG
Vaccines: COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity: 0,
Dose2… https://t.co/CEWh9SNhbY",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411038   bindu madhav thakre hos pmcg vaccines  covaxin  min age limit   45 18   dose1 capacity  0  dose2   
4444,Sat Jun 19 02:45:47 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ShabnamHamseda: And people like me who had vaccine injury and cannot get the covid19 shots and will be stuck in Ottawa and cannot trave…,0,0,en,2,2,KetoMattMan,390,566,,,,Earth,and people like me who had vaccine injury and cannot get the covid19 shots and will be stuck in ottawa and cannot trave 
4445,Sat Jun 19 02:46:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @sujiseam: @AstraZeneca #COVID19 #vaccine also remains authorised for all populations in the #EuropeanUnion. https://t.co/dUrrezvA1z,0,0,en,8,4,Vee_Tamani,589,585,FALSE,,,Fiji Islands,   covid19  vaccine also remains authorised for all populations in the  europeanunion   
4446,Sat Jun 19 02:46:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0,0,en,631,572,Witch_of_SoCo,413,565,FALSE,,,Indigenous Borderlands of CO,liars  you tried to load off your expired vaccines  just another war crime by israel   
4447,Sat Jun 19 02:46:30 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","By 6/1/21, 1.93 billion #COVID19 vaccines had been administered globally–85% in wealthy countries. Low-income count… https://t.co/hFODyr4f4a",0.5,1,en,0,,Chinh53454833,43,124,FALSE,,,"Hà Nội, Việt Nam",by 6 1 21  1 93 billion  covid19 vaccines had been administered globally 85  in wealthy countries  low income count   
4448,Sat Jun 19 02:46:51 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0,0,en,631,573,ahmdfitriahmd,140,98,FALSE,,,,liars  you tried to load off your expired vaccines  just another war crime by israel   
4449,Sat Jun 19 02:47:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0,0,en,631,574,azam5091,281,356,FALSE,,,Central - M'sia,liars  you tried to load off your expired vaccines  just another war crime by israel   
4450,Sat Jun 19 02:48:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @stkirsch: **BIG NEWS**: Up to 25,800 may have been killed by the COVID vaccine.  I bet that this is a lower bound on the number killed…",-0.1,0.05,en,805,457,Louisa49287568,71,486,,,,,  big news    up to 25 800 may have been killed by the covid vaccine   i bet that this is a lower bound on the number killed 
4451,Sat Jun 19 02:48:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CDCDirector: I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine n…",0.644444444,0.911111111,en,1014,325,silverfemale1,487,818,,,,"McAllen, TX",i m pleased to welcome the  wecandothis bus to atlanta today  remember  there are 3 easy ways to find a  covid19 vaccine n 
4452,Sat Jun 19 02:49:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Rimmel_Mohydin: HOARDING VACCINES IS COSTING LIVES.,0,0,en,73,29,curly_fry88,101,273,,,,,hoarding vaccines is costing lives 
4453,Sat Jun 19 02:49:11 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0,0,en,632,575,adahsyuhada,1151,349,FALSE,,,,liars  you tried to load off your expired vaccines  just another war crime by israel   
4454,Sat Jun 19 02:49:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411007] 
Aundh Kuty Rugnalaya - PMCG
Vaccines: COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity: 0,
Dose2… https://t.co/A0zMMzenKN",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411007   aundh kuty rugnalaya   pmcg vaccines  covaxin  min age limit   45 18   dose1 capacity  0  dose2   
4455,Sat Jun 19 02:49:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411002] 
Malti Kachi Hospital - PMCG
Vaccines: COVAXIN,
Min Age Limit: [18,45],
Dose1 Capacity: 0,
Dose2… https://t.co/stu1i3jBNi",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411002   malti kachi hospital   pmcg vaccines  covaxin  min age limit   18 45   dose1 capacity  0  dose2   
4456,Sat Jun 19 02:49:44 +0000 2021,"<a href=""http://naattuvartha.byethost33.com"" rel=""nofollow"">Naattuvartha</a>","RT @PuneUpdater: Pin Code:[411007] 
Aundh Kuty Rugnalaya - PMCG
Vaccines: COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity: 0,
Dose2 Capacit…",-0.75,1,en,0,1,viralvideovlogs,6848,4581,,,,കേരളം,pin code  411007   aundh kuty rugnalaya   pmcg vaccines  covaxin  min age limit   45 18   dose1 capacity  0  dose2 capacit 
4457,Sat Jun 19 02:49:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0,0,en,633,576,vvmikax,25,150,FALSE,,,,liars  you tried to load off your expired vaccines  just another war crime by israel   
4458,Sat Jun 19 02:50:03 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TelGlobalHealth: 🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen…",0,0,en,626,698,Hardeep_Twit,55,38,,,,"Noida, India", africa is  in the midst of a full blown third wave  of coronavirus  the head of   has warned  cases have risen 
4459,Sat Jun 19 02:50:03 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DrEricDing: 17) the main problem with #DeltaVariant is that the 1 dose strategy isn’t good anymore. 1 dose vaccine efficacy is likely j…,0.288888889,0.644444444,en,155,83,ShawBatch,392,748,,,,,17  the main problem with  deltavariant is that the 1 dose strategy isn t good anymore  1 dose vaccine efficacy is likely j 
4460,Sat Jun 19 02:50:18 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Hey China, why did you provide ineffective COVID19 vaccines against variants to many countries AND how come Kazakhs… https://t.co/elnOgFm5Gc",0.5,0.5,en,0,,BrentLaudham,75,130,,,,,hey china  why did you provide ineffective covid19 vaccines against variants to many countries and how come kazakhs   
4461,Sat Jun 19 02:50:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BogochIsaac: 204,344 #COVID19 vaccines have been administered so far today in Ontario. 84% are 2nd doses.

These are huge vaccine days.…",0.166666667,0.633333333,en,1914,149,natloudavies,17,50,,,,,204 344  covid19 vaccines have been administered so far today in ontario  84  are 2nd doses   these are huge vaccine days  
4462,Sat Jun 19 02:50:23 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DrEricDing: 13) Similar #DeltaVariant worries from a 🇨🇦 hospital— ➡️Outbreak even w/ 2 dose of mRNA vaccines—16 patients &amp; 6 HCWS #Delt…,0,0.4,en,180,76,briannanichols,3698,4853,,,,"New York, USA",13  similar  deltavariant worries from a    hospital    outbreak even w  2 dose of mrna vaccines 16 patients  amp  6 hcws  delt 
4463,Sat Jun 19 02:50:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itranslate123: @AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians, which could have been disastrous…",0,0,en,36,38,Enanananas,363,631,,,,,  will aipac tell the world that israel has sold expired vaccines to palestinians  which could have been disastrous 
4464,Sat Jun 19 02:50:38 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Outlookindia: ‘It’s better to give vaccines in shorter intervals,’ says Prof k Srinath Reddy in an interview with Outlook's @bhadrakali…",0.5,0.5,en,8,5,RakeshS90403803,15,22,,,,, it s better to give vaccines in shorter intervals   says prof k srinath reddy in an interview with outlook s   
4465,Sat Jun 19 02:50:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @YahooSG: Singapore has ""great confidence"" in the Pfizer-BioNTech and Moderna vaccines, said director of medical services Kenneth Mak ht…",0.4,0.375,en,10,8,SikapOrangMLupa,4,300,,,,"Petaling Jaya, Malaysia",singapore has  great confidence  in the pfizer biontech and moderna vaccines  said director of medical services kenneth mak ht 
4466,Sat Jun 19 02:50:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrEricDing: 23) Regarding J&amp;J, I have no direct evidence-based position. However… it’s not technically a 2-dose vaccine. if you’re inte…",-0.025,0.25,en,249,94,npars01,279,5002,,,,,23  regarding j amp j  i have no direct evidence based position  however  it s not technically a 2 dose vaccine  if you re inte 
4467,Sat Jun 19 02:51:35 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nearly 1,000 EXPIRED Pfizer/BioNTech Covid-19 vaccines stabbed into the arms of now-altered humans at NYC Times Squ… https://t.co/a3Ns5Vpmjk",0.1,0.4,en,0,,marilyn_brickel,2017,2074,FALSE,,,"Alpharetta, Georgia",nearly 1 000 expired pfizer biontech covid 19 vaccines stabbed into the arms of now altered humans at nyc times squ   
4468,Sat Jun 19 02:51:36 +0000 2021,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","RT @CDCgov: How do we know #COVID19 vaccines are safe?

CDC &amp; @US_FDA have safety monitoring systems to make sure every vaccine is as safe…",0.5,0.694444444,en,111,63,CDCemergency,2003093,527,,,,"Atlanta, GA",how do we know  covid19 vaccines are safe   cdc  amp    fda have safety monitoring systems to make sure every vaccine is as safe 
4469,Sat Jun 19 02:52:00 +0000 2021,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",If you’re in ATL keep an 👀 out for the #COVID19 vaccine bus.,0,0,en,0,,dtfeinberg,5194,257,,,,"Mountain View, CA",if you re in atl keep an   out for the  covid19 vaccine bus 
4470,Sat Jun 19 02:52:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @DrEricDing: 17) the main problem with #DeltaVariant is that the 1 dose strategy isn’t good anymore. 1 dose vaccine efficacy is likely j…,0.288888889,0.644444444,en,155,84,SyBo82,420,2266,,,,,17  the main problem with  deltavariant is that the 1 dose strategy isn t good anymore  1 dose vaccine efficacy is likely j 
4471,Sat Jun 19 02:52:11 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0,0,en,634,578,joonfluffynamu,132,209,FALSE,,,,liars  you tried to load off your expired vaccines  just another war crime by israel   
4472,Sat Jun 19 02:52:11 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",So much misinformation and fear mongering on this account and yet no action by @Twitter because she’s a democrat.,0.075,0.15,en,0,,ParentsUnionLA,88,191,,,,,so much misinformation and fear mongering on this account and yet no action by   because she s a democrat 
4473,Sat Jun 19 02:52:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @AlArabiya_Eng: The Palestinian Authority (PA) cancels a deal to receive soon-to-expire #COVID19 vaccines from #Israel after an initial…,0,0,en,14,18,kha_nu_biaa,514,52,,,,Peshawar,the palestinian authority  pa  cancels a deal to receive soon to expire  covid19 vaccines from  israel after an initial 
4474,Sat Jun 19 02:52:26 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0,0,en,634,579,ainGEEKY,246,81,FALSE,,,,liars  you tried to load off your expired vaccines  just another war crime by israel   
4475,Sat Jun 19 02:52:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TelGlobalHealth: 🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen…",0,0,en,627,701,DrElnora,7595,5118,,,,, africa is  in the midst of a full blown third wave  of coronavirus  the head of   has warned  cases have risen 
4476,Sat Jun 19 02:52:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411041] 
Murlidhar Laigude - PMCG
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 0… https://t.co/ODyTPS6YFb",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411041   murlidhar laigude   pmcg vaccines  covaxin covishield  min age limit   18 45   dose1 capacity  0   
4477,Sat Jun 19 02:52:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411048] 
Kondhwa Savitribai Phule PMC G
Vaccines: COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity: 0,
Dos… https://t.co/6KgfcQ2PzJ",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411048   kondhwa savitribai phule pmc g vaccines  covaxin  min age limit   45 18   dose1 capacity  0  dos   
4478,Sat Jun 19 02:52:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411038] 
Jayabai Sutar Hospital PMCG
Vaccines: COVISHIELD COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity… https://t.co/J51trisskX",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411038   jayabai sutar hospital pmcg vaccines  covishield covaxin  min age limit   45 18   dose1 capacity   
4479,Sat Jun 19 02:52:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>","Pin Code:[411006] 
Rajiv Gandhi Hospital PMCG
Vaccines: COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity: 0,
Dose2 C… https://t.co/EWF3RDGX9L",-0.75,1,en,0,,PuneUpdater,88,0,,,,,pin code  411006   rajiv gandhi hospital pmcg vaccines  covaxin  min age limit   45 18   dose1 capacity  0  dose2 c   
